a apostolico
donald c.s. allison
donald e. knuth
donald sannella
douglas b. lenat
douglas d. dunlop
dov harel
dov teeni
drew mcdermott
dung t. huynh
e a. parr
e a. unger
"e g. coffman, jr."
e horowitz
e kaucher
e korach
e l. robertson
e martinelli
eda behar
edgar kaucher
edward h. adelson
edward h. shortliffe
edward j. turner
ehud gudes
eike best
eileen m. trauth
eitan zemel
elizabeth kruesi bailey
elizabeth perez
ellen c. hildreth
elliot soloway
emerson w. pugh
enrique h. ruspini
erich j. neuhold
erik hollnagel
ernest a. kallman
ernest davis
errol l. lloyd
esko ukkonen
ewa orlowska
f barsi
f browaeys
f de tisi
f h. lochovsky
f j. smith
f macsek
f. g mccabe
f. k. hanna
f. stenger
fernando orejas
francis y. chin
franco p. preparata
frank thomson leighton
fred b. schneider
fred kelly
frederic william neitzke
frederick n. springsteel
friedrich l. bauer
g alia
g bohlender
g frosini
g larry sanders
g loizou
g ponisch
g roucairol
g t. russell
g t. toussaint
g w. furnas
g wenzel
g. d. ritchie
gabriel m. kuper
gary grudnitski
gary l. miller
gary perlman
gene a. klaasen
genevieve berry-rogghe
geoff bristow
george c. stockman
george m. trojan
george w. cherry
george w. mulford
gerhard barth
gianfranco balbo
gianna cioni
gianni conte
gilles kahn
giovanni coray
giovanni guida
giuseppe pelagatti
glenn krasner
go yamazaki
gordon plotkin
gordon stuber
gordon v. cormack
greg n. frederickson
gunter pretzl
"h b. hunt, iii"
h böhm
h derriennic
h e. bez
h fallour
h h. atkinson
h m. blanken
h partsch
h schneider
h t. smith
h w. six
h. s. witsenhausen
h. woźniakowski
hana galperin
hannu erkio
hans berliner
hans jurgen schneider
hans röck
harald böhm
harald ganzinger
hector j. levesque
heikki mannila
heinz kaphengst
helen a. patton
henri prade
"henry c. lucas, jr."
henry d. shapiro
henry f. korth
henry g. pajak
hideo matsuka
hirofumi katsuno
hiroyuki kitagawa
horacio vaggione
i danicic
i gargantini
i herman
i n. molchanov
ian a. macleod
ian f. blake
ian r. perry
igor aleksander
ingemar dahlstrand
isamu kobayashi
ivan flores
j blazewicz
j bormann
j cendrowska
j e. hanne
j ernvall
j febvre
j g. ganascia
j gillett
j j. gibbons
j j. simon
j n.p hume
j p. malmquist
j r. abrial
j steensgaard-madsen
j w. schmidt
j weglarz
j wolff von gudenberg
j van den bos
j. c. a. van der lubbe
j. f. traub
j. k. reid
j. paredaens
j. r white
j. schwing
jack mostow
jacob shalev
jacob slonim
james b. johnson
james d. witthoff
james f. allen
james f. cox
james f. kurose
james g. hook
james k. habinek
james p. fry
james w. stamos
janine pollack
janis k. lapins
jayme luiz szwarcfiter
jean mockler
jean-marc steyaert
jeffrey d. ullman
jeffrey scott vitter
jennifer m. murphy
jeremy d. sammes
"jess w. curry, jr."
jim welsh
joan feigenbaum
joel stutz
johannes rohrich
john c. mitchell
john c. thomas
john case
john e. savage
john elder
john f. palmer
john h. remmers
john hopcroft
john i. kiger
john leslie king
john m. carroll
john mclean
john mitchell
john nissen
john p. fishburn
john p. hayes
john p. kearns
john s. mallozzi
john seely brown
john sheehan
john vincent atanasoff
john w. bailey
jon w. mark
jorgen staunstrup
joseph a. wald
joseph já já
joseph l. steffen
joseph y-t. leung
joseph y. halpern
judea pearl
juergen schuermann
juhani karhumaki
k arya
k devine
k gruner
k hammomd
k kanatani
k t. milne
k zietak
k. l clark
k. sikorski
"karel culik, ii"
karen a. prendergast
karl p. sauvant
kate ehrlich
kazuhito ohmaki
kazuo murota
keld helsgaun
kenneth h. palmer
kenneth magel
kenneth rosenblad
"kenniston w. lord, jr."
ker-i ko
khai-li hsu
kim b. bruce
klaus bothe
ko matuda
koji torii
kokichi sugihara
krzysztof r. apt
kurt mehlhorn
l b. rall
l csirmaz
l d. nikolenko
l devroye
l henschen
l lenarduzzi
l lopriore
l m. gomez
l wegner
l wos
larry s. davis
larry stockmeyer
lars soderlund
laszlo mero
laveen kanal
lawrence a. coon
lawrence j. kenah
lawrence paulson
lee b lusted
leo j. cohen
leon reinharth
leonard bolc
liba svobodova
lois wright hawkes
lorraine m. purgailis parker
louis c. barbeau
luca cardelli
m a. bramer
m a. langston
m b. trakhtenbrot
m bozzini
m c. er
m drabowski
m f. yakovlev
m gattinger
m h. williams
m j. corinthios
m kronental
m p. fle
m p. mariani
m p. papazoglou
m t. noga
m t. shing
m talamo
m v.s. ramanath
m w.a. smith
m van naelten
m. al-suwaiyel
m. d. mcilroy
m. gyssens
m. negri
m. nielsen
m. w. du
m. zennaro
mahadevan ganapathi
mamoru maekawa
manfred broy
marc guillemont
marco a. casanova
marco ajmone marsan
marco colombetti
margaret lepley
maria branders
maria-cecilia rivara
mario schkolnick
marisa venturini zilli
maristella agosti
marshall k. mckusick
martin s. mckendry
mary alice white
mary e. s. loomis
mary j. culnan
mary j. feeney
mary lou soffa
masaaki sibuya
masahiro kawagoe
masao iri
matthew hennessy
matthias jarke
matts ahlsen
melvin j. strauss
melvin klerer
merlin dorfman
micha sharir
michael a. langston
michael c. loui
michael j. ferguson
michael jarrett
michael knee
michael l. schneider
michael novak
michael pidd
michael purser
michael r. dunlavey
michael swaine
michael wright
michel gondran
michel minoux
mihalis yannakakis
mikio yoshida
mikito hirata
miron livny
mischa schwartz
mitchell wand
mordechai ben-ari
morton norman
moshe ben-bassat
moshe m. zloof
moshe y. vardi
murray campbell
myla archer
mynga k. futrell
myron melman
n bolloju
n c.k phillips
n chourout
n e. wiseman
n magnetat-thalmann
n p. chapman
n pippenger
n santoro
n. k. boudwin
nabil jean naccache
nadder a. hamdy
naftaly minsky
nancy mccracken
narain gehani
naveen prakash
neil c. rowe
nicholas j. de lillo
nicola m. morfuni
nissim francez
nobuo sannomiya
o nevalainen
ole immanuel franksen
oliver vornberger
p corsini
p coumpas
p desclaud
p i. georgiadis
p j. thewlis
"p m. lewis, ii"
p m. lu
p quarendon
p robinson
p s. fisher
p sharma
p subrahmanyam
p. dierckx
paltin sturdza
paolo atzeni
parimala n
patrick h. winston
patrick l. odell
paul a. luker
paul freiberger
paul g. sorenson
paul geisert
paul morawski
paul pritchard
"paul w. purdom, jr."
pavol duris
pawel urzyczyn
peter a. ng
peter ann-beng ng
peter b.b turney
peter j. burt
peter m. maurer
peter m. schwarz
peter moller-nielsen
peter mosses
peter p. chen
peter pepper
peter poggi
peter schlichtiger
peter wallis
philippe chretienne
philippe flajolet
piers burnett
pieter h. hartel
piotr dembinski
prasenjit biswas
q y. shi
r a. frost
r c. bose
r c. holt
r d. boyle
r diamond
r e. griswold
r e. stearns
r frank
r g. noble
r giancarlo
r h. davis
r k. shyamasundar
r k. wood
r k.m thambynayagam
r klatte
r menzel
r nigel horspool
r piessens
r tamassia
r veroff
r. burstall
r. c. t. lee
r. zicari
rachel reichman-adar
rajjan shinghal
ralph e. griswold
rami g. melhem
randy katz
ray curnow
raymond t. yeh
rene moreau
richard a. kronmal
richard a. o'keefe
richard b. bunt
richard d. schlichting
richard e. cobb
richard f. flynn
richard f. hobson
richard hull
richard j. le blanc
richard sincovec
richard wiener
ricky e. savage
rob gerth
robert a. mueller
robert a. reid
robert cartwright
robert dorfman
robert dunn
robert e. filman
robert e. tarjan
robert endre tarjan
robert fraley
robert g. reynolds
robert johansen
robert l. mack
robert s. fabry
robert w. marti
robert wilensky
rodney p. zimmerman
ronald r. yager
ronald v. book
roy h. campbell
rudolf bayer
ruston m. hunt
ruth miller
s b. yao
s cook
s hirschhorn
s j. p. todd
s k. ghosh
s m. deen
s m. rump
s s. ravi
s s. yau
s t. dumais
s winker
s. d. brookes
s. s. lyengar
safwat g. zaky
sakae uno
sam toueg
samuel j. leffler
samuel kamin
sape j. mullender
sara f. rushinek
scott r. smith
sergiu harts
shinsei tazawa
sholom m. weiss
shou-hsuan stephen huang
shuji doshita
shuji nakata
siegfried m. rump
simon f. bate
stanley a. kurzban
stavros s. cosmadakis
stefan britts
stefan sokolowski
stefano ceri
stein schjolberg
stephen b. wampler
stephen g. kochan
stephen k kwan
stephen m. mcmenamin
stephen t. mcclellan
steve kassel
steven f. jennings
steven homer
steven j. clark
steven l. mandell
steven p. reiss
steven vajda
stuart a. kurtz
stuart j. berkowitz
subrata dasgupta
sue whitesides
sumiyasu yamamoto
sunita agarwal
susan curran
susanna barber
sushil jajodia
susumu yamasaki
svante carlsson
sylvia b. sheppard
t c. hu
t i. fenner
t k. landauer
t l. kunii
t r. heywood
t r. king
t radhakrishnan
tadao takaoka
takao ohya
takuya katayama
taylor l. booth
terence e. gray
theo haerder
theodore e.d. braun
thomas f. coleman
thomas s. heines
thomas seewaldt
thomas w. malone
thomas w. reps
timothy j. long
toby j. teorey
tomek strzalkowski
tosiyasu l. kunii
tsutomu kamimura
tung bui
tzilla elrad
u kulisch
u w. kulisch
u. w kulisch
ulrich kulisch
ulrich l. hupbach
ulrich schiel
ulrich w. kulisch
uwe schoning
uzi vishkin
v j. rayward-smith
v s. zubatenko
v. carl hamacher
val donaldson
viacheslav e. wolfengagen
victor m. markowitz
victor pan
victor r. basili
vincent bouthonnier
vipin kumar
virgil d. gligor
vladimir lifschitz
w hong
w ian gasarch
w kent
w kramer
w l. miranker
w teunissen
w v. wright
w. morven gentleman
walt scacchi
wayne r. cowell
werner c. rheinboldt
willard l. miranker
willem p. de roever
william b. rouse
william c. rounds
william c. troy
william e. perry
william g. golson
william j. clancey
william mitchell
william n. joy
william orchard-hays
william r. mallgren
william stallings
william w. lau
wolfgang bibel
wolfgang doster
wolfgang effelsberg
won kim
y wallach
yaakov l. varol
yechiam yemini
yoav raz
yoshihisa mano
yu n. marchuk
yung h. tsin
zdzislaw pawlak
zenon w. pylyshyn
zhang guo-qiang
zvi galil
zvonko g. vranesic
özalp babaoğlu
